x,y,velocity,distance,curvature
0.0,0.0,3.05,0.0,0.0
-0.07499961966291992,2.3885229192013263E-4,3.05,0.075,0.0
-0.14999923932583983,4.7770458384026527E-4,3.05,0.15,0.0
-0.22499885898875976,7.165568757603979E-4,3.05,0.225,0.0
-0.29999847865167967,9.554091676805305E-4,3.05,0.3,1.9274607543496135E-17
-0.3749980983145996,0.0011942614596006631,3.05,0.375,3.8549215086992245E-17
-0.44999771797751953,0.0014331137515207959,3.05,0.44999999999999996,3.854921508699227E-17
-0.5249973376404394,0.0016719660434409284,3.05,0.5249999999999999,3.854921508699197E-17
-0.5999969573033593,0.001910818335361061,3.05,0.5999999999999999,3.854921508699247E-17
-0.6749965769662792,0.002149670627281194,3.05,0.6749999999999998,3.8549215086992066E-17
-0.7499961966291991,0.0023885229192013263,3.05,0.7499999999999998,7.709843017398533E-17
-0.8249958162921192,0.0026273752111214592,3.05,0.8249999999999998,0.0
-0.8999954359550391,0.0028662275030415917,3.05,0.8999999999999998,0.0
-0.974995055617959,0.0031050797949617242,3.05,0.9749999999999998,0.0
-1.0499946752808789,0.0033439320868818567,3.05,1.0499999999999998,0.0
-1.1249942949437988,0.0035827843788019892,3.05,1.1249999999999998,7.70984301739817E-17
-1.1999939146067187,0.003821636670722122,3.05,1.1999999999999997,7.70984301739888E-17
-1.2749935342696386,0.004060488962642255,3.05,1.2749999999999997,7.709843017398268E-17
-1.3499931539325585,0.004299341254562388,3.05,1.3499999999999996,0.0
-1.4249927735954784,0.00453819354648252,3.05,1.4249999999999996,0.0
-1.4999923932583983,0.004777045838402653,3.05,1.4999999999999996,0.0
-1.5749920129213182,0.005015898130322785,3.05,1.5749999999999995,1.5419686034796849E-16
-1.649991632584238,0.0052547504222429185,3.05,1.6499999999999995,1.5419686034796405E-16
-1.724991252247158,0.005493602714163051,3.05,1.7249999999999994,0.0
-1.7999908719100781,0.0057324550060831835,3.05,1.7999999999999996,0.0
-1.874990491572998,0.005971307298003316,3.05,1.8749999999999996,0.0
-1.949990111235918,0.0062101595899234485,3.05,1.9499999999999995,1.541968603479497E-16
-2.024989730898838,0.006449011881843581,3.05,2.025,3.0839372069594264E-16
-2.0999893505617577,0.0066878641737637134,3.05,2.0999999999999996,1.5419686034794216E-16
-2.1749889702246774,0.006926716465683847,3.05,2.1749999999999994,3.0839372069594353E-16
-2.2499885898875975,0.007165568757603979,3.05,2.2499999999999996,0.0
-2.3249882095505177,0.007404421049524112,3.05,2.3249999999999997,0.0
-2.399987829213438,0.007643273341444244,3.05,2.4,1.54196860347975E-16
-2.4749874488763575,0.007882125633364377,3.05,2.4749999999999996,0.0
-2.549987068539277,0.00812097792528451,3.05,2.5499999999999994,6.167874413918181E-16
-2.6249866882021973,0.008359830217204642,3.05,2.6249999999999996,0.0
-2.6999863078651174,0.008598682509124773,3.05,2.6999999999999997,6.167874413918976E-16
-2.774985927528037,0.008837534801044907,3.05,2.7749999999999995,0.0
-2.8499855471909568,0.00907638709296504,2.847897258128603,2.849999999999999,3.0839372069597183E-16
-2.924985166853877,0.009315239384885172,2.326052190484213,2.9249999999999994,3.083937206958918E-16
-2.999984786516797,0.009554091676805305,1.6463653278833343,2.9999999999999996,3.3464854386642077E-16
-3.070990795842662,0.009780225464467303,0.3927970138312599,3.071006369410601,7.637532604279822
-3.122456058302864,0.0381751691373185,0.3885017470970227,3.129785158665585,7.7219729960462535
-3.158131773235644,0.09192776503375613,1.3042689079886411,3.19429948421868,2.300139167333526
-3.187491669157455,0.15582342181962835,3.05,3.2646177495886217,0.7620179585859965
-3.2143252374748785,0.2237763029612744,3.05,3.3376768656802946,0.2810812614813667
-3.240148274750547,0.29335207384523,3.05,3.411890187585713,0.10878177181022783
-3.265567099609513,0.36357700062610937,3.05,3.486573900660189,0.042938601971095634
-3.2908242395017986,0.43406158976575826,3.05,3.5614471296657797,0.017084238384392096
-3.316016705407412,0.504650043848915,3.05,3.6363963804175743,0.0068191451890458705
-3.341183301718356,0.5752800439094748,3.05,3.711376074191507,0.0027253327590502393
-3.366339550191433,0.6459266623609959,3.05,3.786367950657388,0.0010897612266538182
-3.3914916595293625,0.7165799281689015,3.05,3.8613647010767878,4.3584500155109684E-4
-3.4166421132132334,0.7872358529193608,3.05,3.9363634012178377,1.7432848318353565E-4
-3.4417919046354806,0.8578928412468418,3.05,4.011362881269984,6.972987037587803E-5
-3.466941431153079,0.9285502550051314,3.05,4.086362673290159,2.789170452289688E-5
-3.492090851708817,0.9992078389357444,3.05,4.161362590098119,1.1156642796074128E-5
-3.5172402298798113,1.0698654909352867,3.05,4.236362556821286,4.462650963559114E-6
-3.542389591096908,1.1405231701624008,3.05,4.311362543510549,1.7850592854300025E-6
-3.5675389455324455,1.2111808602805438,3.05,4.386362538186255,7.140235102156406E-7
-3.5926882972553593,1.281838554755098,3.05,4.461362536056536,2.856094324489477E-7
-3.6178376478932237,1.352496250972217,3.05,4.536362535204649,1.1424370042634535E-7
-3.6429869980970686,1.4231539478863615,3.05,4.611362534863894,4.5697478727896965E-8
-3.6681363481273057,1.4938116450793164,3.05,4.686362534727592,1.8278970081442868E-8
-3.6932856980880997,1.5644693423837956,2.869833288866894,4.761362534673071,7.311587995646056E-9
-3.7184350480211164,1.6351270397328845,2.352858496950819,4.836362534651263,2.9246987290184906E-9
-3.743584397943022,1.7057847370998174,1.6840258629212626,4.91136253464254,8.541430283106456E-10
-3.7591805087497008,1.74960238173407,1.0777596504947138,4.957873013607907,9.373879163900503E-11
-3.77,1.7799999999999998,0.0,4.990138732058865,0.0
